"uniqueID","country","ccode","psu","zone","type","quadrat","hhid","month","year","longitude","latitude","gender","landOwnStatus","nWomen","nMen","nOldWomen","nOldMen","nGirls","nBoys","nInfants","nMobility","nMembers","ppi","pQuintile","nl","nu100","nu150","nu200","extreme","ppp125","ppp175","ppp200","ppp250","waterSource","water1","water2","water2a","water3","water3a","water4","water4a","water4b","water5","water5a","water5b","water6","water6a","water7","water7a","water7b","water7c","water8","water8a","water9a","water9b","water9c","water9d","water9e","water9f","water10","water10a","water10b","water11","water11a","water11b","water11c","water11d","water12","water12a","water12b","water13","water13a","water14","water14a","water16","water16a","water17","water18","jmpWater1","jmpWater2","jmpWater3","jmpWater4","jmpWater5","accessWater","san1","san1a","san2","san2a","san3","san4","san5","san6","san7","san8a","san8b","san8c","san8d","san8e","san8f","san8g","san9","san10","san11","san12","san13","san13a","san14","san15","san16","san17","san18","san19","san20a","san20b","san20c","san20d","san20e","san21","san22a","san22b","san22c","san23","san24a","san24b","san24c","san24d","san25","san32","san33","san34","san34a","san35","san35a","san36","san37","jmpSan1","jmpSan2","jmpSan3","jmpSan4","jmpSan5","adequateSan","accessSan","acceptSan","acceptScore","jmpHand1","jmpHand2","jmpHand3","san26","san27","san28","san28a","san29","san30","jmpWoman","jmpWomenHygiene","overall1","overall2","overall3","overall4","overallSpend","corporation"
110101,"Bangladesh","BGD",1101,1,1,1,1,"Mar",2017,90.4235608,23.8634344,"Female","Tenant",1,1,0,0,0,0,1,0,3,55,3,0.015,0.071,0.426,0.756,0.018,0.145,0.504,0.652,0.843,"Piped water into dwelling",1,"Formal",1,"No",0,24,1,1,7,1,1,"Yes",1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"21-40 litres per day","Yes",1,"No",0,NA,0,1,NA,"Yes",1,"No",0,"Yes",1,"Yes",1,0,1,0,0,0,1,NA,0,"Household toilet",0,0,0,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,10,1,0,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,1,1,"Cloth",1,NA,1,1,0,0,1,0,10,"North City Corporation"
110102,"Bangladesh","BGD",1101,1,1,1,2,"Mar",2017,90.4232412,23.8632834,"Female","Tenant",1,1,0,0,0,0,0,0,2,61,3,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732,"Piped water into dwelling",1,"Formal",1,"No",0,2,0,0,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"41-60 litres per day","No",0,"Yes",1,"Piped water to yard/plot",1,1,NA,"Yes",1,"No",0,"Yes",1,"No",0,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,6,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,1,15,1,0,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,1,1,"Napkin/pad",NA,1,1,1,0,0,1,0,15,"North City Corporation"
110201,"Bangladesh","BGD",1102,1,1,2,1,"Mar",2017,90.4235181,23.8638027,"Female","Tenant",1,1,0,0,1,2,0,0,5,51,2,0.039,0.147,0.55,0.813,0.045,0.242,0.603,0.742,0.879,"Piped water to yard/plot",1,"Formal",1,"No",0,24,1,1,7,1,1,"Don't know",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"41-60 litres per day","Yes",1,"No",0,NA,0,0,NA,"Yes",1,"No",0,"No",0,"Yes",1,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,17,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,4,1,10,1,0,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,10,"North City Corporation"
110202,"Bangladesh","BGD",1102,1,1,2,2,"Mar",2017,90.4234925,23.8639166,"Female","Tenant",1,1,0,0,0,1,1,0,4,37,1,0.15,0.36,0.808,0.936,0.138,0.503,0.836,0.907,0.969,"Piped water to yard/plot",1,"Formal",1,"No",0,2,0,0,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"41-60 litres per day","No",0,"No",0,NA,0,0,NA,"Yes",1,"No",0,"No",0,"Yes",1,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,13,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,3,1,10,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,10,"North City Corporation"
110301,"Bangladesh","BGD",1103,1,1,3,1,"Mar",2017,90.4321658,23.8547916,"Female","Tenant",1,1,0,0,2,0,0,0,4,44,2,0.127,0.267,0.761,0.919,0.111,0.408,0.796,0.874,0.949,"Piped water to yard/plot",1,"Formal",1,"No",0,20,1,0,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"41-60 litres per day","No",0,"No",0,NA,0,0,NA,"Yes",1,"No",0,"Yes",1,"Yes",1,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,20,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,4,1,10,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,10,"North City Corporation"
110302,"Bangladesh","BGD",1103,1,1,3,2,"Mar",2017,90.4323476,23.8549424,"Female","Tenant",1,1,0,0,0,0,1,0,3,46,2,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915,"Piped water to yard/plot",1,"Formal",1,"No",0,20,1,0,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"21-40 litres per day","Yes",1,"No",0,NA,0,0,NA,"Yes",1,"No",0,"Yes",1,"Yes",1,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,18,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,5,1,10,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,10,"North City Corporation"
110401,"Bangladesh","BGD",1104,1,1,4,1,"Mar",2017,90.4327621,23.8545737,"Female","Tenant",1,1,0,0,1,1,0,0,4,30,1,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982,"Piped water to yard/plot",1,"Formal",1,"No",0,2,0,0,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"21-40 litres per day","No",0,"No",0,NA,0,0,NA,"Yes",1,"No",0,"Yes",1,"No",0,0,0,0,0,0,1,NA,0,"Communal / shared toilet",1,17,1,"Flush/pour flush","Septic tank",0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,5,1,5,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Landlord",1,0,0,1,0,NA,1,1,0,3,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,5,"North City Corporation"
110402,"Bangladesh","BGD",1104,1,1,4,2,"Mar",2017,90.4327973,23.854632,"Female","Tenant",1,1,0,0,0,0,1,0,3,30,1,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982,"Piped water to yard/plot",1,"Formal",1,"No",0,2,0,0,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"21-40 litres per day","No",0,"No",0,NA,0,0,NA,"Yes",1,"No",0,"Yes",1,"No",0,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,15,1,"Flush/pour flush","Septic tank",0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,4,1,5,1,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Landlord",1,0,0,1,0,NA,1,0,0,3,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,5,"North City Corporation"
110501,"Bangladesh","BGD",1105,1,1,5,1,"Mar",2017,90.4108506,23.8777407,"Female","Tenant",1,1,0,0,0,0,0,0,2,61,3,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732,"Piped water to yard/plot",1,"Formal",1,"No",0,24,1,1,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"41-60 litres per day","Yes",1,"No",0,NA,0,0,NA,"Yes",1,"No",0,"Yes",1,"Yes",1,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,16,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,3,1,5,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,5,"North City Corporation"
110502,"Bangladesh","BGD",1105,1,1,5,2,"Mar",2017,90.4108317,23.8778302,"Female","Tenant",1,1,0,0,2,0,0,0,4,45,2,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915,"Piped water to yard/plot",1,"Formal",1,"No",0,24,1,1,7,1,1,"No",0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,"41-60 litres per day","Yes",1,"No",0,NA,0,0,NA,"Yes",1,"No",0,"Yes",1,"Yes",1,0,1,0,0,0,1,NA,0,"Communal / shared toilet",1,15,1,"Flush/pour flush","Open drain/ditch/water body",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,4,1,10,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,0,"Don't know/not applicable","Don't know/not applicable",NA,0,0,0,0,NA,1,1,0,4,NA,NA,NA,1,0,1,"Cloth",1,NA,0,1,0,0,1,0,10,"North City Corporation"
