"score","nl","nu100","nu150","nu200","extreme","ppp125","ppp175","ppp200","ppp250"
0,0.762,0.873,0.984,1,0.658,0.979,0.988,1,1
1,0.762,0.873,0.984,1,0.658,0.979,0.988,1,1
2,0.762,0.873,0.984,1,0.658,0.979,0.988,1,1
3,0.762,0.873,0.984,1,0.658,0.979,0.988,1,1
4,0.762,0.873,0.984,1,0.658,0.979,0.988,1,1
5,0.706,0.846,0.977,0.995,0.656,0.893,0.982,0.987,0.997
6,0.706,0.846,0.977,0.995,0.656,0.893,0.982,0.987,0.997
7,0.706,0.846,0.977,0.995,0.656,0.893,0.982,0.987,0.997
8,0.706,0.846,0.977,0.995,0.656,0.893,0.982,0.987,0.997
9,0.706,0.846,0.977,0.995,0.656,0.893,0.982,0.987,0.997
10,0.636,0.821,0.976,0.995,0.572,0.888,0.982,0.987,0.997
11,0.636,0.821,0.976,0.995,0.572,0.888,0.982,0.987,0.997
12,0.636,0.821,0.976,0.995,0.572,0.888,0.982,0.987,0.997
13,0.636,0.821,0.976,0.995,0.572,0.888,0.982,0.987,0.997
14,0.636,0.821,0.976,0.995,0.572,0.888,0.982,0.987,0.997
15,0.464,0.68,0.962,0.995,0.425,0.816,0.969,0.986,0.997
16,0.464,0.68,0.962,0.995,0.425,0.816,0.969,0.986,0.997
17,0.464,0.68,0.962,0.995,0.425,0.816,0.969,0.986,0.997
18,0.464,0.68,0.962,0.995,0.425,0.816,0.969,0.986,0.997
19,0.464,0.68,0.962,0.995,0.425,0.816,0.969,0.986,0.997
20,0.371,0.627,0.961,0.995,0.327,0.78,0.963,0.984,0.997
21,0.371,0.627,0.961,0.995,0.327,0.78,0.963,0.984,0.997
22,0.371,0.627,0.961,0.995,0.327,0.78,0.963,0.984,0.997
23,0.371,0.627,0.961,0.995,0.327,0.78,0.963,0.984,0.997
24,0.371,0.627,0.961,0.995,0.327,0.78,0.963,0.984,0.997
25,0.266,0.504,0.887,0.979,0.229,0.658,0.916,0.953,0.987
26,0.266,0.504,0.887,0.979,0.229,0.658,0.916,0.953,0.987
27,0.266,0.504,0.887,0.979,0.229,0.658,0.916,0.953,0.987
28,0.266,0.504,0.887,0.979,0.229,0.658,0.916,0.953,0.987
29,0.266,0.504,0.887,0.979,0.229,0.658,0.916,0.953,0.987
30,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982
31,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982
32,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982
33,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982
34,0.191,0.409,0.843,0.96,0.169,0.57,0.879,0.935,0.982
35,0.15,0.36,0.808,0.936,0.138,0.503,0.836,0.907,0.969
36,0.15,0.36,0.808,0.936,0.138,0.503,0.836,0.907,0.969
37,0.15,0.36,0.808,0.936,0.138,0.503,0.836,0.907,0.969
38,0.15,0.36,0.808,0.936,0.138,0.503,0.836,0.907,0.969
39,0.15,0.36,0.808,0.936,0.138,0.503,0.836,0.907,0.969
40,0.127,0.267,0.761,0.919,0.111,0.408,0.796,0.874,0.949
41,0.127,0.267,0.761,0.919,0.111,0.408,0.796,0.874,0.949
42,0.127,0.267,0.761,0.919,0.111,0.408,0.796,0.874,0.949
43,0.127,0.267,0.761,0.919,0.111,0.408,0.796,0.874,0.949
44,0.127,0.267,0.761,0.919,0.111,0.408,0.796,0.874,0.949
45,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915
46,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915
47,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915
48,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915
49,0.066,0.196,0.658,0.866,0.054,0.335,0.688,0.796,0.915
50,0.039,0.147,0.55,0.813,0.045,0.242,0.603,0.742,0.879
51,0.039,0.147,0.55,0.813,0.045,0.242,0.603,0.742,0.879
52,0.039,0.147,0.55,0.813,0.045,0.242,0.603,0.742,0.879
53,0.039,0.147,0.55,0.813,0.045,0.242,0.603,0.742,0.879
54,0.039,0.147,0.55,0.813,0.045,0.242,0.603,0.742,0.879
55,0.015,0.071,0.426,0.756,0.018,0.145,0.504,0.652,0.843
56,0.015,0.071,0.426,0.756,0.018,0.145,0.504,0.652,0.843
57,0.015,0.071,0.426,0.756,0.018,0.145,0.504,0.652,0.843
58,0.015,0.071,0.426,0.756,0.018,0.145,0.504,0.652,0.843
59,0.015,0.071,0.426,0.756,0.018,0.145,0.504,0.652,0.843
60,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732
61,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732
62,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732
63,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732
64,0.009,0.053,0.348,0.649,0.01,0.109,0.404,0.546,0.732
65,0.004,0.044,0.286,0.525,0.001,0.087,0.322,0.445,0.633
66,0.004,0.044,0.286,0.525,0.001,0.087,0.322,0.445,0.633
67,0.004,0.044,0.286,0.525,0.001,0.087,0.322,0.445,0.633
68,0.004,0.044,0.286,0.525,0.001,0.087,0.322,0.445,0.633
69,0.004,0.044,0.286,0.525,0.001,0.087,0.322,0.445,0.633
70,0.002,0.023,0.246,0.51,0,0.056,0.315,0.429,0.604
71,0.002,0.023,0.246,0.51,0,0.056,0.315,0.429,0.604
72,0.002,0.023,0.246,0.51,0,0.056,0.315,0.429,0.604
73,0.002,0.023,0.246,0.51,0,0.056,0.315,0.429,0.604
74,0.002,0.023,0.246,0.51,0,0.056,0.315,0.429,0.604
75,0,0.012,0.214,0.403,0,0.043,0.258,0.34,0.507
76,0,0.012,0.214,0.403,0,0.043,0.258,0.34,0.507
77,0,0.012,0.214,0.403,0,0.043,0.258,0.34,0.507
78,0,0.012,0.214,0.403,0,0.043,0.258,0.34,0.507
79,0,0.012,0.214,0.403,0,0.043,0.258,0.34,0.507
80,0,0.005,0.17,0.32,0,0.027,0.197,0.267,0.409
81,0,0.005,0.17,0.32,0,0.027,0.197,0.267,0.409
82,0,0.005,0.17,0.32,0,0.027,0.197,0.267,0.409
83,0,0.005,0.17,0.32,0,0.027,0.197,0.267,0.409
84,0,0.005,0.17,0.32,0,0.027,0.197,0.267,0.409
85,0,0,0.083,0.249,0,0,0.107,0.146,0.333
86,0,0,0.083,0.249,0,0,0.107,0.146,0.333
87,0,0,0.083,0.249,0,0,0.107,0.146,0.333
88,0,0,0.083,0.249,0,0,0.107,0.146,0.333
89,0,0,0.083,0.249,0,0,0.107,0.146,0.333
90,0,0,0.039,0.099,0,0,0.051,0.066,0.123
91,0,0,0.039,0.099,0,0,0.051,0.066,0.123
92,0,0,0.039,0.099,0,0,0.051,0.066,0.123
93,0,0,0.039,0.099,0,0,0.051,0.066,0.123
94,0,0,0.039,0.099,0,0,0.051,0.066,0.123
95,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
